"Image","Item","Client","Category","Role","Date","Program","Supplier","Notes","Image 2","Image 3","Status"
"","Die Cut Shipping Sticker","Aspen Posters","Physical Goods","Graphic Design, Production Management","11.2025","","Sticker Mule","","","","Public"
"","Winter 25/26 Catalog","Aspen Posters","Physical Goods","Graphic Design, Production Management","11.2025","","Mixam","","","","Public"
"","Get a Room 26","Nothing Radio","Event Flyers, Event","Graphic Design","11.2025","","","","","","Public"
"","215 @ Public Hotel","Nothing Radio","Event Flyers, Event","Graphic Design","11.2025","","","","","","Public"
"","Business Card Matchbooks","Studio Luhtala","Physical Goods","Techpack Design, Production Management","10.2025","","GetMatches","","","","Public"
"","AW Engraved Notepad","AW","Physical Goods","Techpack Design, Production Management","10.2025","","Mount Street Printers","","","","Login Required"
"","Bottle Opener Necklace","Nothing Radio","Accessories","","10.2025","","Custom Coasters Now","","","","Featured 1"
"","Get a Room: Halloween","Nothing Radio","Event Flyer","","10.2025","","Staples","","","","Public"
"","Studio Luhtala Website","Studio Luhtala","Website","Web Designer, Graphic Designer, Project Management","9.2025","Squarespace","","studioluhtala.com","","","Public"
"","Solo Studio Website","Solo Studio LA","Website","Web Designer, Graphic Designer, Project Management","9.2025","Squarespace","","","","","Public"
"","Get a Room Flyers","Nothing Radio","","","8.2025","","","","","","Public"
"","Aspen Posters x Framebridge, NYC Popup","Aspen Posters","Event, Physical Goods","Project Management","12.2025","","","","","","Public"
"","Chateau Marmont holiday card 2026","Chateau Marmont","Printed Good","Assistant","12.2025","","","","","","Login Required"
"","Chateau Marmont Gallery Wall Acrhive Project","Chateau Marmont","Project Management","Project Lead","12.2025","","The Logical Choice, Cityframe","","","","Public"
"","Nothing Radio Website Design","Nothing Radio","Website Design","","12.2025","Squarespace, CSS, HTML","","","","","Public"
"","JoRocco + The Standard, Highline","JoRocco, The Standard","Retail","Project Lead","1.2025","","","Redefining the ethos of The Shop at The Standard to provide guests with unique art by New York City artists. JoRocco is a NYC based jewelry designer that does frequent pops-ups at Chelsea Market.","","","Public"
"","Carolina Sarria video campaign","Carolina Sarria","Video Editing","Video Editor","10.2024","Final Cut Pro","","Develop and edited content for the Carolina Sarria’s S/S 2025 ‘Circus’ collection.","","","Public"
"","All a Dream (2020)","Personal Project","Zine, Physical Goods","","2020","Photoshop, Collage","","Zine from when I was living in London and had to leave due to Covid. Exact copies and sizing of boarding passes, Passport and covid health information.","","","Public"
"","Cry for Help (2020)","Personal Project","Zine, Physical Goods","","","Photoshop, Collage","","8.5 x 11” Zine Reflecting on my first year in New York City.","","","Public"
